team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,f +/-
Hot Shots,,,,37,14,41,34.1,3,10,30.0,6,12,50.0,5,21,26,9,12,2,4,5,14,9,23,,,,,,,
Hot Shots,hotshots-daniel,m,Daniel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-12,22:15,-15,-6,-4,6,6
Hot Shots,hotshots-weronika,f,Weronika,3,1,5,20.0,0,0,0,1,2,50.0,0,4,4,0,0,0,0,0,1,1,2,-18,25:50,-14,-11,-2,6,6
Hot Shots,hotshots-martin,m,Marty,6,3,9,33.3,0,1,0,0,0,0,1,5,6,0,1,0,1,1,2,1,4,-10,24:35,-9,-5,-2,5,0
Hot Shots,hotshots-sharad,m,Sharad,2,1,2,50.0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,6,0,-6,-18,27:17,-21,-11,-5,8,6
Hot Shots,dropbears-mary,f,Mary,3,1,6,16.7,1,3,33.3,0,0,0,0,0,0,1,2,0,0,2,0,0,-5,-6,16:53,-9,-5,-4,4,-3
Hot Shots,burritos-allen,m,Allen,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1,02:31,0,-1,0,-1,-1
Hot Shots,hotshots-harrison,m,Harrison38,21,8,16,50.0,2,5,40.0,3,8,37.5,2,7,9,2,3,1,2,0,4,6,21,-19,32:20,-22,-11,-4,6,4
Hot Shots,hotshots-marine,f,Marine,2,0,3,0,0,0,0,2,2,100.0,2,0,2,5,2,1,0,2,1,1,3,-14,24:42,-23,-6,-4,6,7
Camden Hells,,,,58,24,63,38.1,0,5,0,10,19,52.6,23,23,46,21,4,7,5,4,9,14,86,,,,,,,
Camden Hells,camdenhells-sean,m,Sean,3,1,4,25.0,0,0,0,1,2,50.0,2,1,3,5,2,0,0,0,2,2,5,12,18:09,7,5,2,-4,-3
Camden Hells,rockets-anna,f,Anna,8,4,7,57.1,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,1,7,0,16:21,8,3,2,-4,-5
Camden Hells,rockets-malachi,m,Malachi,26,9,18,50.0,0,0,0,8,11,72.7,8,6,14,1,1,0,4,1,1,7,37,22,25:39,21,11,4,-6,-5
Camden Hells,greenmachine-ahmed,m,Ahmed,0,0,6,0,0,2,0,0,0,0,6,4,10,5,0,2,0,1,2,0,8,12,17:59,17,8,4,-6,-2
Camden Hells,lostangels-rob,m,Rob,13,6,11,54.5,0,0,0,1,2,50.0,2,5,7,2,0,1,0,1,1,1,16,1,16:44,8,2,1,-3,-3
Camden Hells,lions-alfie,m,Alfie,4,2,6,33.3,0,0,0,0,2,0,3,2,5,1,1,2,0,0,0,1,6,11,11:18,11,6,2,-3,0
Camden Hells,camdenhells-davidgalindo,m,David Galindo,2,1,5,20.0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,2,0,0,7,10:52,3,5,2,-2,-1
Camden Hells,lostangels-sophie,f,Sophie,0,0,3,0,0,1,0,0,0,0,0,2,2,3,0,1,1,1,1,1,3,23,23:01,17,9,4,-5,0
Camden Hells,camdenhells-jess,f,Jess,2,1,3,33.3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,19,32:31,21,12,4,-7,-5
