team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,f +/-
Lost Angels,,,,55,24,58,41.4,4,13,30.8,3,9,33.3,15,25,40,19,14,10,1,3,11,10,67,,,,,,,
Lost Angels,lostangels-carlos,m,Carlos,13,5,11,45.5,0,0,0,3,9,33.3,4,8,12,2,6,1,1,2,1,7,15,-4,34:00,7,6,1,0,1
Lost Angels,lostangels-carlotta,f,Carlotta,22,11,17,64.7,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,21,-4,34:00,7,6,1,0,1
Lost Angels,lostangels-daria,f,Daria,6,2,7,28.6,2,7,28.6,0,0,0,0,1,1,1,2,2,0,0,1,3,5,-4,34:00,7,6,1,0,1
Lost Angels,lostangels-jazeps,m,Jazeps,10,4,13,30.8,2,6,33.3,0,0,0,1,5,6,8,4,6,0,1,3,0,13,-4,34:00,7,6,1,0,1
Lost Angels,lostangels-rolands,m,Rolands,4,2,10,20.0,0,0,0,0,0,0,9,6,15,3,2,0,0,0,4,0,8,-4,34:00,7,6,1,0,1
North L Lions,,,,59,22,54,40.7,12,24,50.0,3,8,37.5,11,22,33,13,14,9,3,1,10,11,66,,,,,,,
North L Lions,northlondonlions-tanky,m,Tanky,15,5,12,41.7,5,8,62.5,0,0,0,0,2,2,1,0,2,0,0,0,1,14,8,25:35,-9,-3,2,-4,2
North L Lions,northlondonlions-boma,m,Boma,35,13,28,46.4,6,13,46.2,3,5,60.0,4,7,11,4,2,3,3,0,1,3,39,5,29:17,-2,-5,-3,2,-2
North L Lions,northlondonlions-tom,m,Tom NLL,6,3,4,75.0,0,0,0,0,1,0,2,1,3,1,3,1,0,0,1,1,6,3,16:39,-5,-1,3,-4,-4
North L Lions,northlondonlions-kenny,m,Kenny,3,1,5,20.0,1,1,100.0,0,2,0,0,6,6,0,4,0,0,1,4,2,-4,-5,15:40,-1,-5,-5,5,1
North L Lions,northlondonlions-mikey,m,Mikey,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,2,3,3,2,16:46,-4,-4,-1,1,3
North L Lions,northlondonlions-sulley,m,Sulley,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,4,15,15:35,-4,1,1,0,3
North L Lions,northlondonlions-millie,f,Millie,0,0,1,0,0,1,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,-2,26:10,-5,-6,0,-1,-5
North L Lions,northlondonlions-kat,f,Kitty-Kat,0,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,-1,-6,24:13,-5,-7,-2,1,-3
