team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,f +/-
Lions,,,,31,13,45,28.9,4,19,21.1,1,3,33.3,4,26,30,9,16,11,1,1,13,5,23,,,,,,,
Lions,lions-foley,m,Foley,6,2,10,20.0,1,6,16.7,1,2,50.0,0,4,4,0,2,1,0,0,5,2,-3,-3,27:44,-15,-3,0,3,6
Lions,lions-gus,m,Gus,0,0,4,0,0,0,0,0,0,0,1,8,9,0,3,0,1,0,3,1,1,-5,25:54,-12,-4,4,-2,5
Lions,lions-kata,f,Kata,6,3,10,30.0,0,2,0,0,0,0,0,1,1,6,3,6,0,1,1,0,7,-3,33:52,-20,-3,2,1,8
Lions,lions-mychelle,f,Mychelle,7,3,13,23.1,1,9,11.1,0,0,0,0,4,4,2,7,4,0,0,1,1,0,-1,31:23,-21,-2,3,-1,8
Lions,lions-rashid,m,Rashid,8,3,5,60.0,2,2,100.0,0,1,0,0,5,5,1,1,0,0,0,2,1,9,4,22:29,-17,1,0,3,4
Lions,greenmachine-andris,m,Andris,4,2,3,66.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,-7,18:36,-15,-4,1,1,9
Camden Hells,,,,34,13,51,25.5,0,3,0,8,20,40.0,16,30,46,12,15,9,1,1,5,13,44,,,,,,,
Camden Hells,camdenhells-davidgalindo,m,David Galindo,2,0,7,0,0,1,0,2,2,100.0,2,2,4,3,2,1,0,0,1,1,1,1,19:43,13,0,-4,1,-2
Camden Hells,camdenhells-sean,m,Sean,2,1,5,20.0,0,0,0,0,4,0,4,1,5,2,1,4,0,1,0,3,6,17,10:57,11,7,0,-4,-8
Camden Hells,lostangels-sophie,f,Sophie,2,1,6,16.7,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,4,17:18,11,1,-2,-1,-4
Camden Hells,rockets-anna,f,Anna,2,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,14:29,3,0,0,0,-3
Camden Hells,rockets-malachi,m,Malachi,9,4,8,50.0,0,0,0,1,3,33.3,7,6,13,2,6,1,1,0,1,2,15,-1,23:19,15,1,-2,1,-5
Camden Hells,kissmygrass-steph,f,Steph-Kansas,2,1,4,25.0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,1,0,4,8,19:07,17,4,-3,0,-4
Camden Hells,greenmachine-ahmed,m,Ahmed,3,1,2,50.0,0,1,0,1,2,50.0,0,4,4,2,2,2,0,0,2,2,7,-7,13:20,7,0,1,0,-2
Camden Hells,camdenhells-jess,f,Jess,2,1,4,25.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,-2,17:05,9,1,1,-1,-5
Camden Hells,lostangels-rob,m,Rob,10,3,9,33.3,0,0,0,4,7,57.1,1,5,6,0,2,0,0,0,0,3,8,-2,18:55,9,1,-3,2,-4
Camden Hells,lions-alfie,m,Alfie,0,0,2,0,0,0,0,0,2,0,0,3,3,2,1,0,0,0,0,1,1,1,08:59,5,0,2,-3,-3
