team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,f +/-
Hot Shots,,,,35,15,44,34.1,0,6,0,5,6,83.3,12,27,39,8,21,7,6,1,14,6,35,,,,,,,
Hot Shots,hotshots-marine,f,Marine,0,0,4,0,0,1,0,0,0,0,2,2,4,0,3,2,0,0,0,0,-1,1,33:53,4,-5,-6,7,7
Hot Shots,hotshots-harrison,m,Harrison38,8,3,12,25.0,0,4,0,2,2,100.0,1,6,7,3,4,2,1,1,3,3,7,-3,32:36,4,-6,-7,8,8
Hot Shots,hotshots-bernard,u,Bernard,6,3,5,60.0,0,0,0,0,0,0,1,1,2,3,2,1,0,0,3,0,5,6,21:35,0,-2,-3,4,3
Hot Shots,lions-saulius,m,Saul,4,1,1,100.0,0,0,0,2,2,100.0,1,6,7,0,4,0,0,0,3,1,5,2,14:40,0,-4,-2,2,5
Hot Shots,saturdays-claire,f,Claire,4,2,9,22.2,0,1,0,0,0,0,1,1,2,1,4,1,0,0,1,0,-4,4,31:30,5,-4,-7,6,6
Hot Shots,imports-dan,m,Dan,11,5,11,45.5,0,0,0,1,2,50.0,2,6,8,1,2,0,4,0,2,2,15,2,18:46,3,-1,-2,4,2
Hot Shots,hotshots-sharad,m,Sharad,2,1,2,50.0,0,0,0,0,0,0,2,1,3,0,1,1,1,0,1,0,4,-5,16:05,4,-3,-2,3,4
Green Machine,,,,34,13,47,27.7,1,8,12.5,7,20,35.0,13,18,31,13,14,13,1,6,6,14,33,,,,,,,
Green Machine,greenmachine-ahmed,m,Ahmed,12,4,15,26.7,1,4,25.0,3,7,42.9,1,1,2,7,2,5,0,0,2,4,11,9,23:12,2,7,7,-10,-4
Green Machine,greenmachine-alex,m,AlexGM,11,4,10,40.0,0,0,0,3,9,33.3,6,7,13,3,4,2,1,3,3,5,13,0,29:08,1,4,3,-4,-6
Green Machine,greenmachine-marina,f,Marina,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,-3,5,19:23,-2,6,3,-5,-7
Green Machine,greenmachine-victoria,f,Victoria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,-6,30:24,-7,3,4,-5,-5
Green Machine,greenmachine-basel,m,Basel,2,1,6,16.7,0,2,0,0,2,0,0,2,2,2,3,2,0,0,1,3,0,-7,19:32,-6,0,3,-1,-2
Green Machine,greenmachine-jayd,m,Jayd,2,1,3,33.3,0,2,0,0,0,0,1,4,5,0,0,0,0,1,0,1,5,-14,18:39,-8,-1,1,0,-6
Green Machine,kissmygrass-steph,f,Steph-Kansas,2,1,4,25.0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,5,15:10,3,3,5,-4,-1
Green Machine,rockets-malachi,m,Malachi,5,2,6,33.3,0,0,0,1,2,50.0,2,1,3,1,2,2,0,2,0,1,3,3,14:31,-3,3,4,-6,-4
