team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir,+/-,min,reb +/-,ast +/-,stl +/-,tov +/-,f +/-
North L Lions,,,,33,12,45,26.7,1,11,9.1,8,23,34.8,20,26,46,5,15,7,4,2,19,19,30,,,,,,,
North L Lions,northlondonlions-tanky,m,Tanky,4,1,5,20.0,1,3,33.3,1,2,50.0,0,4,4,1,3,1,0,1,2,1,0,-3,16:57,3,-2,1,-2,2
North L Lions,northlondonlions-kylie,f,Kylie,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,4,0,-6,0,26:30,19,-2,-4,2,-3
North L Lions,northlondonlions-kat,f,Kitty-Kat,0,0,2,0,0,0,0,0,0,0,3,0,3,0,2,1,0,0,0,1,1,-2,17:24,4,1,0,3,1
North L Lions,northlondonlions-boma,m,Boma,19,7,18,38.9,0,7,0,5,8,62.5,4,7,11,2,1,1,0,0,4,4,18,-9,30:37,15,-2,-4,4,3
North L Lions,northlondonlions-tom,m,Tom NLL,6,2,6,33.3,0,0,0,2,7,28.6,9,10,19,1,2,2,4,0,4,8,25,-6,28:33,16,1,-5,5,2
North L Lions,northlondonlions-mikey,m,Mikey,4,2,4,50.0,0,0,0,0,2,0,0,5,5,1,3,0,0,0,3,3,3,0,25:55,11,0,-4,5,-1
North L Lions,northlondonlions-stephanie,f,Stephanie F,0,0,8,0,0,1,0,0,4,0,1,0,1,0,2,1,0,1,2,2,-13,-10,24:08,7,-1,-4,3,6
Rockets,,,,39,14,42,33.3,1,6,16.7,10,21,47.6,11,20,31,6,11,11,2,4,19,19,35,,,,,,,
Rockets,rockets-anna,f,Anna,6,3,4,75.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,4,23:45,-10,2,4,-2,-4
Rockets,rockets-darnell,m,Darnell,11,5,11,45.5,0,2,0,1,4,25.0,2,0,2,0,5,1,1,2,2,3,0,4,24:20,-12,0,4,-2,-2
Rockets,rockets-marc,m,Marc,13,4,12,33.3,0,2,0,5,9,55.6,1,5,6,1,1,1,0,1,7,5,5,1,24:44,-16,1,3,-3,4
Rockets,rockets-patricia,f,Patricia,1,0,1,0,0,0,0,1,2,50.0,1,2,3,1,1,1,0,0,4,1,0,10,24:20,-11,1,4,-4,-5
Rockets,rockets-paul,m,Paul,2,0,4,0,0,0,0,2,4,50.0,0,6,6,2,2,3,1,1,2,5,8,5,31:04,-15,1,5,-6,-5
Rockets,lostangels-daria,f,Daria,3,1,3,33.3,1,2,50.0,0,0,0,1,0,1,0,0,2,0,0,0,1,5,1,17:03,-7,0,-1,-1,4
Rockets,lostangels-rob,m,Rob,3,1,7,14.3,0,0,0,1,2,50.0,4,7,11,2,1,1,0,0,3,4,10,8,21:48,-2,1,0,-1,-3
